what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044700199
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044704710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044706309
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044719359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044741399
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324044746314
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044746316
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044746506
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044759395
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044773189
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1324044773251
opened,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324044773495
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324044773657
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1324044781198
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324044781607
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324044786198
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044786199
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044786286
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044804029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044808758
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044822702
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324044940496
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324044942532
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324045042918
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324045042920
