what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323959999733
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323960006506
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323960006545
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1323960040879
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323960067529
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960067530
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960067536
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323960138891
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960138894
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960138898
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323960400515
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323960401466
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323960410450
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323960437780
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323960439234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960439236
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960439240
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1323960441638
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960450570
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960558541
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960566278
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323960567754
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323960568062
stopped,bundle,com.something.eclipse.shelled.ui,1.0.5,"com.something.eclipse.shelled.ui",1323960568477
stopped,bundle,org.eclipse.dltk.tcl.testing.tcltest,1.0.0.v20090615-1430,"org.eclipse.dltk.tcl.testing.tcltest",1323960568477
