what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876512035
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1323876528121
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1323876529821
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876534314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876534324
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876547501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323876549278
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876860942
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876978695
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323876978723
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323876979781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323877045933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323877045964
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323877046044
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323877080489
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323877439418
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323877456582
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323878459623
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323878461999
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323878513133
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323878514503
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323878515994
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323878517612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323878517621
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323878517671
