what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028183271
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028183283
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1324028183435
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1324028183509
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1324028183579
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1324028183581
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1324028183585
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1324028183628
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1324028183687
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1324028183692
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1324028183696
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1324028183790
error,log,,,"Project facet jst.web has not been defined. It is used in plugin org.eclipse.wst.jsdt.web.core.",1324028183871
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028196572
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028206661
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324028210536
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324028215398
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324028216671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028216673
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028216683
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028227229
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028279608
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324028286046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028286061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324028286080
