what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945331709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945495830
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945502833
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945502841
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323945502890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945533785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945576951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323945602420
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945631041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945638631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945674409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945675097
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945690103
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945705038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323945710525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323945714892
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323945724678
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323945725769
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945767311
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945776569
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1323945781285
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323945789645
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323945790511
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323945791900
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323945791901
