what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951935190
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951954446
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323951956449
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323951965359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323951966893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951974937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951974946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323951974996
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323951975681
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951985360
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951985369
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323951985417
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951989358
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323951994447
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323954323049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323954323061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323954323062
executed,command,de.loskutov.anyedit.AnyEditTools,2.3.1.201005301956,"AnyEdit.CnvrtTabToSpaces.command",1323954323280
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323954635677
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323954686086
activated,view,org.python.pydev,2.0.0.2011040403,"org.python.pydev.navigator.view",1323954689470
opened,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323954689644
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1323954689824
activated,view,org.python.pydev,2.0.0.2011040403,"org.python.pydev.navigator.view",1323954689853
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323954704751
